,ntaname,borough,#trees,area,health,trees/sq.mile,borough_y,#properties,avg.landprice_thous$/acre,avg.propvalue_thous$/acre,avtot,properties/sq.mile
16,bensonhurst west,brooklyn,4091.0,1.6740763281643405,14.242239061354194,2443.735647636728,brooklyn,11197,22.55987,797.71329,82151.3,6688.464445511719
17,borough park,brooklyn,5709.0,1.9371635046487128,14.185496584340514,2947.092481507015,brooklyn,13671,27.179009999999998,832.8960999999999,105308.66,7057.225663808442
18,breezy point-belle harbor-rockaway park-broad channel,queens,3541.0,3.5667770401564614,12.458345100254164,992.7730161245711,queens,5377,32.33259,605.8919599999999,77977.96,1507.523441881338
19,briarwood-jamaica hills,queens,3134.0,1.0510505292090495,14.183152520740268,2981.778623296483,queens,4044,44.9961,796.0496999999999,154151.14,3847.5790531624057
20,brighton beach,brooklyn,1141.0,0.6162526457687739,13.304119193689745,1851.5133490041324,brooklyn,4624,23.73908,453.46989,121520.69,7503.416061170122
21,bronxdale,bronx,1378.0,0.5447029789586317,13.846153846153848,2529.819100006527,bronx,1748,44.682019999999994,734.38153,211219.07,3209.0883793987005
22,brooklyn heights-cobble hill,brooklyn,1685.0,0.35811310796601503,13.688427299703267,4705.217325247717,brooklyn,2903,107.07903999999999,2046.96695,517850.85,8106.377385871882
23,brownsville,brooklyn,2973.0,1.1736457570735996,14.219643457786749,2533.132320448173,brooklyn,4426,36.38308,591.35788,152345.08,3771.154944602628
24,bushwick north,brooklyn,3245.0,0.8941663502675294,13.152542372881355,3629.078637357707,brooklyn,5374,25.553240000000002,594.56178,106338.01,6010.067364302101
25,bushwick south,brooklyn,4334.0,1.4408808383122251,13.860175357637287,3007.8823208424574,brooklyn,7471,29.971040000000002,692.92848,131882.23,5185.022800880017
26,cambria heights,queens,3099.0,1.1864668640560077,13.923846402065182,2611.9566368721703,queens,5199,15.3055,414.80066,32638.06,4381.91757182911
27,canarsie,brooklyn,5634.0,2.9448912636739863,13.537451189208376,1913.1436428559803,brooklyn,13844,22.34685,468.14436,56525.4,4701.022469240004
28,carroll gardens-columbia street-red hook,brooklyn,4136.0,1.5998543399728218,13.64482591876209,2585.2353534073995,brooklyn,7601,39.3303,1076.75683,139694.3,4751.057524480088
29,central harlem north-polo grounds,manhattan,3355.0,0.9112246058704472,13.837555886736213,3681.858433569336,manhattan,4289,86.22135,1171.43816,422305.59,4706.852703898325
30,central harlem south,manhattan,2485.0,0.5179387855687364,13.358148893360159,4797.864282882928,manhattan,4960,60.55659,843.53264,281109.26,9576.421264828701
31,charleston-richmond valley-tottenville,staten island,7910.0,5.22535769750042,13.929203539823007,1513.771966995445,staten island,6705,32.95343,631.46292,75825.02,1283.165744463269
32,chinatown,manhattan,1402.0,0.5201829430777801,13.74821683309558,2695.2056361263008,manhattan,3274,219.87777,1994.4763899999998,834257.04,6293.939552551719
33,claremont-bathgate,bronx,1538.0,0.5901205169163037,13.081924577373213,2606.2472934119887,bronx,1220,56.34669,1100.9138899999998,422261.22,2067.3743159704977
34,clinton,manhattan,1887.0,0.6586514750236653,13.282988871224164,2864.944620267039,manhattan,7478,196.60922,1946.54038,819463.98,11353.500726209284
35,clinton hill,brooklyn,2835.0,0.736347750304916,14.17636684303351,3850.0830603828804,brooklyn,5486,25.9645,782.2288199999999,144959.38,7450.284186688001
36,co-op city,bronx,2030.0,1.4288372002374663,14.157635467980294,1420.7356860967943,bronx,1252,111.55638,1882.17302,715309.15,876.2369847257079
