ntaname,borough,count,avg.land value/acre,property value,avtot
turtle bay-east midtown,manhattan,9511,409348.30,4002138.53,1747523.61
university heights-morris heights,bronx,1591,43474.42,962248.29,314018.91
upper east side-carnegie hill,manhattan,8439,418160.09,4347310.24,1333937.96
upper west side,manhattan,11842,198665.12,1893475.69,671645.72
van cortlandt village,bronx,1376,56293.01,1221606.05,437526.51
van nest-morris park-westchester square,bronx,3968,37217.23,717599.96,174809.06
washington heights north,manhattan,1223,168908.66,2152369.43,950114.10
washington heights south,manhattan,1759,134995.77,2650483.93,1140196.30
west brighton,brooklyn,1421,44960.53,521930.06,234868.70
west concourse,bronx,556,322252.72,6467828.18,2881334.44
west farms-bronx river,bronx,2152,29138.47,588181.25,128664.73
west new brighton-new brighton-st. george,staten island,6007,24987.85,469316.01,94691.41
west village,manhattan,7669,257114.88,3361382.09,1049337.82
westchester-unionport,bronx,3160,26676.19,561596.02,109725.96
westerleigh,staten island,7372,24632.37,487244.92,48776.75
whitestone,queens,7942,26985.06,846038.04,79538.24
williamsbridge-olinville,bronx,7010,19381.59,506507.54,84254.26
williamsburg,brooklyn,3218,16893.42,501784.96,118094.43
windsor terrace,brooklyn,3433,20107.46,1012041.15,90792.56
woodhaven,queens,9042,18379.99,497896.58,49128.68
woodlawn-wakefield,bronx,7048,16152.56,457648.39,56514.88
woodside,queens,4820,42707.11,742715.46,139233.52
yorkville,manhattan,7692,162707.97,1560409.29,620493.94
