,ntaname,borough,count,shape_area,health,trees/sq.mile
90,jamaica estates-holliswood,queens,3965,1.5348791841067646,14.099621689785625,2583.265211396729
91,kensington-ocean parkway,brooklyn,2153,0.5700938703619929,13.685555039479796,3776.571038437772
92,kew gardens,queens,1935,0.7377874456496963,13.330749354005167,2622.706595794724
93,kew gardens hills,queens,4902,1.3590705942558556,14.187066503467973,3606.876655795821
94,kingsbridge heights,bronx,1111,0.4721619273164954,13.712871287128714,2353.006322035119
95,laurelton,queens,4414,1.4270877161531426,13.650883552333484,3093.0123986340363
96,lenox hill-roosevelt island,manhattan,2215,0.7715154300210679,12.717832957110609,2870.9730406033677
97,lincoln square,manhattan,2022,0.5669473970780126,13.699307616221564,3566.4684420832973
98,lindenwood-howard beach,brooklyn,1,2.3157335618435777,10.0,0.4318286077798563
99,lindenwood-howard beach,queens,4380,2.3157335618434796,13.769406392694064,1891.409302075851
100,longwood,bronx,1476,0.3849737495480283,14.244579945799458,3834.0276492432845
101,lower east side,manhattan,1846,0.8356750962536994,13.429035752979415,2208.9924759940195
102,madison,brooklyn,3362,0.9820923038087064,13.842950624628198,3423.3034786665594
103,manhattanville,manhattan,862,0.38191135525710806,13.602088167053365,2257.0682650158165
104,marble hill-inwood,bronx,289,0.6360726823849324,13.737024221453288,454.35059231974014
105,marble hill-inwood,manhattan,1350,0.6360726823849143,12.944444444444445,2122.3989606632063
106,mariner's harbor-arlington-port ivory-graniteville,staten island,3582,3.1932942974776366,13.604131769960915,1121.7256119579706
107,maspeth,queens,3107,1.2781637755466333,13.863855809462503,2430.830899327613
108,melrose south-mott haven north,bronx,1997,0.6195398855529679,13.668002003004506,3223.35986200079
109,middle village,queens,5043,2.0691612658867147,14.053142970454095,2437.2194101743353
110,midtown-midtown south,manhattan,1136,1.082972278688884,12.610035211267606,1048.964984935085
111,midwood,brooklyn,4664,1.2841330343562887,13.652444253859349,3632.022442548543
112,morningside heights,manhattan,2492,0.7229921891535658,13.623595505617978,3446.786891179943
113,morrisania-melrose,bronx,2135,0.6059082888867359,13.962529274004684,3523.6355718498867
114,mott haven-port morris,bronx,2377,1.5029030990300358,13.49179638199411,1581.6056281566662
115,mount hope,bronx,1881,0.5278893640345304,13.702817650186072,3563.246634908446
116,murray hill,queens,6838,1.8827579002385062,14.355074583211465,3631.906151679814
117,murray hill-kips bay,manhattan,1658,0.5196092592401471,12.982509047044632,3190.8592283836197
118,new brighton-silver lake,staten island,3444,1.690815971268121,14.39459930313589,2036.8863664192747
119,new dorp-midland beach,staten island,5339,1.9882579746614117,14.087844165574078,2685.2652261632193
120,new springville-bloomfield-travis,staten island,8094,11.757079777065433,13.931924882629108,688.4362574275448
121,north corona,queens,2141,0.6456910568648025,13.995796356842597,3315.827247779725
122,north riverdale-fieldston-riverdale,bronx,1870,1.7593649237688864,13.989304812834225,1062.8835295830002
123,north side-south side,brooklyn,3271,1.0355604382890748,14.211250382146133,3158.6760936949836
124,norwood,bronx,1709,0.5640541896486012,13.879461673493271,3029.850733073512
125,oakland gardens,queens,5569,1.8297204768495792,14.040222661159993,3043.6342984960897
126,oakwood-oakwood beach,staten island,5460,2.0073563674243706,13.86996336996337,2719.9953573792677
127,ocean hill,brooklyn,2262,0.7206265199222343,14.232979664014147,3138.935270164775
128,ocean parkway south,brooklyn,2474,0.637844917793004,13.698464025869038,3878.6857604200154
129,old astoria,queens,1245,0.5602759508508371,13.831325301204819,2222.119293375592
130,old town-dongan hills-south beach,staten island,4805,2.4036308136298117,14.049947970863684,1999.0590787708334
131,ozone park,queens,3093,0.8973556296631185,14.2725509214355,3446.7939997893154
132,park slope-gowanus,brooklyn,5895,1.5248086772017715,13.803223070398642,3866.0587968440186
