,ntaname,borough,area,health,trees/sq.mile,avg.landprice_thous$/acre,avg.propvalue_thous$/acre,properties/sq.mile
130,old town-dongan hills-south beach,staten island,2.4,14.05,1999.06,28.88,464.87,2684.27
131,ozone park,queens,0.9,14.27,3446.79,18.6,496.77,5097.2
132,park slope-gowanus,brooklyn,1.52,13.8,3866.06,27.14,1351.08,8455.49
134,park-cemetery-etc-brooklyn,brooklyn,8.21,13.45,231.22,6010.77,19352.0,13.52
135,park-cemetery-etc-brooklyn,queens,8.21,12.86,0.85,6010.77,19352.0,13.52
137,park-cemetery-etc-queens,queens,11.18,13.05,183.36,2365.62,13935.54,15.03
139,pelham bay-country club-city island,bronx,1.44,14.22,2116.52,20.43,536.15,3669.7
140,pelham parkway,bronx,0.83,14.03,2635.02,41.51,991.81,2908.57
141,pomonok-flushing heights-hillcrest,queens,1.39,14.01,3421.27,36.68,814.67,3987.66
142,port richmond,staten island,1.31,14.31,2292.45,17.54,407.64,3638.06
143,prospect heights,brooklyn,0.37,13.7,3986.68,22.71,880.42,8720.02
144,prospect lefferts gardens-wingate,brooklyn,1.13,14.36,2577.34,41.97,903.78,4770.5
145,queens village,queens,2.49,13.64,2564.38,17.7,444.04,4686.53
146,queensboro hill,queens,0.95,13.87,2834.88,21.7,778.74,4558.27
147,queensbridge-ravenswood-long island city,queens,0.84,13.84,1560.29,94.72,1092.95,2404.4
148,rego park,queens,0.72,13.89,3191.62,43.55,752.59,6127.41
149,richmond hill,queens,1.83,13.85,2577.38,22.08,568.07,5236.25
150,ridgewood,queens,1.81,13.05,3365.05,23.24,597.24,4780.08
151,rosedale,queens,2.21,14.13,2340.96,-173.87,544.51,2416.13
152,rossville-woodrow,staten island,2.33,14.12,3793.6,20.08,573.09,2571.84
153,rugby-remsen village,brooklyn,1.17,14.22,2708.83,23.25,504.5,5713.43
154,schuylerville-throgs neck-edgewater park,bronx,3.17,14.33,1529.15,30.33,545.82,2673.73
155,seagate-coney island,brooklyn,1.39,12.98,975.48,55.37,642.0,2193.93
156,sheepshead bay-gerritsen beach-manhattan beach,brooklyn,2.27,13.24,2152.67,30.37,594.49,4996.34
157,soho-tribeca-civic center-little italy,manhattan,0.9,13.33,2369.91,167.62,2461.69,11407.42
158,soundview-bruckner,bronx,0.58,14.26,3171.48,29.61,598.35,3643.17
159,soundview-castle hill-clason point-harding park,bronx,1.86,14.13,1924.75,35.29,586.99,2666.97
160,south jamaica,queens,1.43,14.23,2713.08,15.52,423.53,5003.5
161,south ozone park,queens,2.96,13.95,2328.01,20.11,497.89,4902.81
162,springfield gardens north,queens,1.02,14.45,2754.24,22.62,512.04,2989.56
163,springfield gardens south-brookville,queens,1.55,14.16,2297.2,28.09,528.34,2668.79
164,spuyten duyvil-kingsbridge,bronx,0.83,13.69,2177.28,68.37,1056.27,2212.1
165,st. albans,queens,2.78,14.36,2436.98,18.26,438.35,4342.05
166,stapleton-rosebank,staten island,1.67,13.77,2176.47,19.45,404.42,3459.53
167,starrett city,brooklyn,0.42,14.4,1639.21,287.46,3590.03,425.42
168,steinway,queens,2.07,13.93,2372.76,26.71,748.37,4006.61
169,stuyvesant heights,brooklyn,1.13,14.12,3349.11,15.85,631.81,6814.5
171,sunset park east,brooklyn,0.97,14.13,3105.59,22.13,774.48,7178.85
172,sunset park west,brooklyn,1.79,13.94,1736.61,46.2,931.15,3486.61
173,todt hill-emerson hill-heartland village-lighthouse hill,staten island,6.63,13.11,706.91,57.27,740.39,1488.45
